metric_id,session_id,speaker_role,availability_status,missing_tables,missing_columns,implemented,computed,n_tokens_covered,n_turns_covered,notes
BASIC_TOKENS_PER_TURN,10129,CHI,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10129,MOT,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10129,BOTH,ready,,,1,0,0,0,
SFP_ALL_RATE,10129,CHI,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10129,MOT,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10129,BOTH,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10129,CHI,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10129,MOT,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10129,BOTH,needs_annotation,,segments.role,0,0,0,0,
BASIC_TOKENS_PER_TURN,10225,CHI,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10225,MOT,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10225,BOTH,ready,,,1,0,0,0,
SFP_ALL_RATE,10225,CHI,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10225,MOT,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10225,BOTH,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10225,CHI,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10225,MOT,needs_annotation,,segments.role,0,0,0,0,
DM_DEMO_RATE,10225,BOTH,needs_annotation,,segments.role,0,0,0,0,
BASIC_TOKENS_PER_TURN,10421,CHI,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10421,MOT,ready,,,1,0,0,0,
BASIC_TOKENS_PER_TURN,10421,BOTH,ready,,,1,0,0,0,
SFP_ALL_RATE,10421,CHI,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10421,MOT,needs_annotation,,segments.role,0,0,0,0,
SFP_ALL_RATE,10421,BOTH,needs_annotation,,segments.role,0,0,0,0,
